State	District	Year	GWL_mbgl
Telangana	MAHBUBNAGAR	2021	6.33
Telangana	MAHBUBNAGAR	2021	12.26
Telangana	MAHBUBNAGAR	2021	11.31
Telangana	MAHBUBNAGAR	2022	13.64
Telangana	MAHBUBNAGAR	2022	13.47
Telangana	MAHBUBNAGAR	2022	8.49
Telangana	MAHBUBNAGAR	2022	7.14
Telangana	MAHBUBNAGAR	2023	12.34
Telangana	MAHBUBNAGAR	2023	12.31
Telangana	NALGONDA	2021	5.78
Telangana	NALGONDA	2021	5.59
Telangana	NALGONDA	2021	3.95
Telangana	NALGONDA	2022	4.23
Telangana	NALGONDA	2022	5.59
Telangana	NALGONDA	2022	4.05
Telangana	NALGONDA	2022	2.95
Telangana	NALGONDA	2023	5.7
Telangana	NALGONDA	2023	4.07
Telangana	WARANGAL RURAL	2023	4.73
Telangana	WARANGAL RURAL	2022	-0.47
Telangana	WARANGAL RURAL	2023	1.34
Telangana	WARANGAL RURAL	2023	0.41
Telangana	RANGA REDDY	2021	8.64
Telangana	RANGA REDDY	2022	8.01
Telangana	RANGA REDDY	2022	10.1
Telangana	RANGA REDDY	2022	4.61
Telangana	RANGA REDDY	2022	4.45
Telangana	MEDCHAL	2023	7.79
Telangana	MEDCHAL	2023	10.93
Telangana	WARANGAL RURAL	2021	2.77
Telangana	WARANGAL RURAL	2021	2
Telangana	WARANGAL RURAL	2021	1.92
Telangana	WARANGAL RURAL	2022	2.3
Telangana	WARANGAL RURAL	2022	3.32
Telangana	WARANGAL RURAL	2022	1.1
Telangana	WARANGAL RURAL	2022	1.7
Telangana	WARANGAL RURAL	2023	2.97
Telangana	WARANGAL RURAL	2023	4.3
Telangana	WARANGAL RURAL	2023	1.45
Telangana	KARIMNAGAR	2021	4.25
Telangana	KARIMNAGAR	2021	2.27
Telangana	KARIMNAGAR	2021	3.03
Telangana	KARIMNAGAR	2022	4.06
Telangana	KARIMNAGAR	2022	5.93
Telangana	KARIMNAGAR	2022	1.64
Telangana	KARIMNAGAR	2022	3.43
Telangana	KARIMNAGAR	2023	3.89
Telangana	KARIMNAGAR	2023	4.48
Telangana	KARIMNAGAR	2023	2.5
Telangana	SIDDIPET	2023	4.2
Telangana	SIDDIPET	2023	12.23
Telangana	MEDAK	2022	6.83
Telangana	MEDAK	2022	13.79
Telangana	MEDAK	2022	5.59
Telangana	MEDAK	2022	6.04
Telangana	MEDAK	2023	12.23
Telangana	MEDAK	2023	6.63
Telangana	JAGITYAL	2023	4.2
Telangana	JAGITYAL	2023	4.48
Telangana	MAHBUBNAGAR	2022	10.01
Telangana	MAHBUBNAGAR	2022	16.15
Telangana	MAHBUBNAGAR	2022	15.22
Telangana	MAHBUBNAGAR	2022	12.47
Telangana	MAHBUBNAGAR	2023	15.99
Telangana	KHAMMAM	2023	6.19
Telangana	KHAMMAM	2023	8.4
Telangana	KHAMMAM	2023	1.2
Telangana	KHAMMAM	2021	5.25
Telangana	KHAMMAM	2021	2.05
Telangana	KHAMMAM	2021	1.38
Telangana	KHAMMAM	2022	5.56
Telangana	KHAMMAM	2022	8.12
Telangana	KHAMMAM	2022	2.13
Telangana	KHAMMAM	2022	3.05
Telangana	KHAMMAM	2023	1.2
Telangana	MAHABUBABAD	2023	1.02
Telangana	NAGARKURNOOL	2023	6.48
Telangana	NAGARKURNOOL	2023	7.31
Telangana	NAGARKURNOOL	2023	7.85
Telangana	KHAMMAM	2021	3.81
Telangana	KHAMMAM	2021	3.55
Telangana	KHAMMAM	2021	3.61
Telangana	KHAMMAM	2022	4.24
Telangana	KHAMMAM	2022	6.68
Telangana	KHAMMAM	2022	1.6
Telangana	KHAMMAM	2023	6.35
Telangana	KHAMMAM	2023	3.9
Telangana	HYDERABAD	2021	5.13
Telangana	HYDERABAD	2021	4.41
Telangana	HYDERABAD	2021	2.92
Telangana	HYDERABAD	2022	5.41
Telangana	HYDERABAD	2022	7.03
Telangana	HYDERABAD	2022	5.6
Telangana	HYDERABAD	2022	5.32
Telangana	HYDERABAD	2023	6.51
Telangana	HYDERABAD	2023	7.02
Telangana	HYDERABAD	2023	5.95
Telangana	RANGA REDDY	2021	9.3
Telangana	RANGA REDDY	2021	10.85
Telangana	RANGA REDDY	2021	6.61
Telangana	RANGA REDDY	2022	10.38
Telangana	RANGA REDDY	2022	9.96
Telangana	RANGA REDDY	2022	4.4
Telangana	RANGA REDDY	2023	5.61
Telangana	RANGA REDDY	2023	9.48
Telangana	RANGA REDDY	2023	7.49
Telangana	RANGA REDDY	2023	5.61
Telangana	MAHBUBNAGAR	2022	12
Telangana	MAHBUBNAGAR	2022	11.2
Telangana	MAHBUBNAGAR	2023	14.19
Telangana	WARANGAL RURAL	2023	0.81
Telangana	WARANGAL RURAL	2021	0.28
Telangana	WARANGAL RURAL	2021	0.13
Telangana	WARANGAL RURAL	2022	0.76
Telangana	WARANGAL RURAL	2022	0.76
Telangana	MAHBUBNAGAR	2021	13.79
Telangana	MAHBUBNAGAR	2021	14.98
Telangana	MAHBUBNAGAR	2021	11.57
Telangana	MAHBUBNAGAR	2022	12.9
Telangana	MAHBUBNAGAR	2022	14.85
Telangana	MAHBUBNAGAR	2022	11.2
Telangana	MAHBUBNAGAR	2022	5.85
Telangana	MAHBUBNAGAR	2023	6.48
Telangana	RANGA REDDY	2021	6.7
Telangana	RANGA REDDY	2021	6.16
Telangana	RANGA REDDY	2021	4.29
Telangana	RANGA REDDY	2022	6.8
Telangana	RANGA REDDY	2022	9.4
Telangana	RANGA REDDY	2022	4.4
Telangana	RANGA REDDY	2022	5.23
Telangana	RANGA REDDY	2023	5.88
Telangana	RANGA REDDY	2023	8.16
Telangana	KHAMMAM	2022	12.26
Telangana	KHAMMAM	2022	11.54
Telangana	KHAMMAM	2023	14.56
Telangana	KHAMMAM	2023	12.12
Telangana	KHAMMAM	2022	11.8
Telangana	RANGA REDDY	2021	5.02
Telangana	RANGA REDDY	2021	5.68
Telangana	RANGA REDDY	2021	2.54
Telangana	RANGA REDDY	2022	3.14
Telangana	RANGA REDDY	2022	7.9
Telangana	RANGA REDDY	2022	3.26
Telangana	RANGA REDDY	2022	3.1
Telangana	RANGA REDDY	2023	3.72
Telangana	RANGA REDDY	2023	6.26
Telangana	WARANGAL RURAL	2021	2.71
Telangana	WARANGAL RURAL	2021	0.76
Telangana	WARANGAL RURAL	2021	1.73
Telangana	WARANGAL RURAL	2022	3.09
Telangana	WARANGAL RURAL	2022	3.86
Telangana	WARANGAL RURAL	2022	2.07
Telangana	WARANGAL RURAL	2023	1.02
Telangana	WARANGAL RURAL	2023	4.1
Telangana	WARANGAL RURAL	2023	0.18
Telangana	MAHBUBNAGAR	2021	7.7
Telangana	MAHBUBNAGAR	2021	3.69
Telangana	MAHBUBNAGAR	2022	29.85
Telangana	MAHBUBNAGAR	2022	7.65
Telangana	MAHBUBNAGAR	2022	9.06
Telangana	MAHBUBNAGAR	2023	9.65
Telangana	NIZAMABAD	2022	3.29
Telangana	NIZAMABAD	2022	8.14
Telangana	NIZAMABAD	2022	2.02
Telangana	NIZAMABAD	2022	1.99
Telangana	NIZAMABAD	2023	9.62
Telangana	NIZAMABAD	2023	6.94
Telangana	KHAMMAM	2023	5.21
Telangana	KHAMMAM	2023	3
Telangana	MEDAK	2021	9.28
Telangana	MEDAK	2021	12.7
Telangana	MEDAK	2021	5.01
Telangana	MEDAK	2022	4.16
Telangana	MEDAK	2022	5.08
Telangana	MEDAK	2022	5.18
Telangana	MEDAK	2022	3.78
Telangana	MEDAK	2023	7.01
Telangana	MEDAK	2023	7.04
Telangana	MEDAK	2023	5.85
Telangana	SANGA REDDY	2023	7.01
Telangana	NALGONDA	2021	6.56
Telangana	NALGONDA	2021	6.92
Telangana	NALGONDA	2021	2.05
Telangana	NALGONDA	2022	1.75
Telangana	NALGONDA	2022	3.05
Telangana	NALGONDA	2022	2.55
Telangana	NALGONDA	2022	1.87
Telangana	NALGONDA	2023	3.79
Telangana	NALGONDA	2023	5.85
Telangana	NALGONDA	2023	6.47
Telangana	NALGONDA	2021	67.78
Telangana	NALGONDA	2021	21.18
Telangana	NALGONDA	2022	4.09
Telangana	NALGONDA	2022	5.21
Telangana	NALGONDA	2022	9.76
Telangana	NALGONDA	2022	25.24
Telangana	NALGONDA	2023	3.7
Telangana	NALGONDA	2023	6.75
Telangana	NALGONDA	2023	11.41
Telangana	RANGA REDDY	2021	6.02
Telangana	RANGA REDDY	2021	4.91
Telangana	RANGA REDDY	2021	5.97
Telangana	RANGA REDDY	2022	7.02
Telangana	RANGA REDDY	2022	8
Telangana	RANGA REDDY	2022	4.47
Telangana	RANGA REDDY	2022	5.5
Telangana	RANGA REDDY	2023	7.69
Telangana	RANGA REDDY	2023	9.91
Telangana	RANGA REDDY	2023	5.83
Telangana	NALGONDA	2021	2.44
Telangana	NALGONDA	2021	2.71
Telangana	NALGONDA	2021	2.2
Telangana	NALGONDA	2022	3.04
Telangana	NALGONDA	2022	4.61
Telangana	NALGONDA	2022	2.56
Telangana	NALGONDA	2022	1.98
Telangana	NALGONDA	2023	2.69
Telangana	NALGONDA	2023	4.69
Telangana	NALGONDA	2023	4.62
Telangana	JOGULAMBA(GADWAL)	2023	5.58
Telangana	JOGULAMBA(GADWAL)	2023	5.82
Telangana	MAHBUBNAGAR	2022	3.91
Telangana	MAHBUBNAGAR	2022	7.51
Telangana	MAHBUBNAGAR	2022	3.79
Telangana	MAHBUBNAGAR	2022	3.46
Telangana	MAHBUBNAGAR	2023	4.27
Telangana	NIZAMABAD	2021	4.01
Telangana	NIZAMABAD	2022	1.87
Telangana	NIZAMABAD	2022	15.64
Telangana	NIZAMABAD	2022	2.63
Telangana	NIZAMABAD	2022	0.83
Telangana	NIZAMABAD	2023	16.51
Telangana	NIZAMABAD	2023	4.01
Telangana	NIZAMABAD	2023	4.05
Telangana	NIZAMABAD	2023	2.37
Telangana	NIZAMABAD	2022	0.91
Telangana	NIZAMABAD	2022	1.25
Telangana	NIZAMABAD	2021	2.7
Telangana	NIZAMABAD	2021	1.42
Telangana	NIZAMABAD	2021	1.23
Telangana	NIZAMABAD	2022	1.98
Telangana	NIZAMABAD	2022	3.6
Telangana	NIZAMABAD	2022	0.88
Telangana	NIZAMABAD	2022	1.15
Telangana	NIZAMABAD	2023	1.37
Telangana	NIZAMABAD	2021	7.4
Telangana	NIZAMABAD	2021	5.89
Telangana	NIZAMABAD	2021	5.05
Telangana	NIZAMABAD	2022	6.56
Telangana	NIZAMABAD	2022	9.44
Telangana	NIZAMABAD	2022	4.49
Telangana	NIZAMABAD	2022	4.55
Telangana	NIZAMABAD	2023	6.96
Telangana	NIZAMABAD	2023	9.45
Telangana	NIZAMABAD	2023	5.31
Telangana	MEDAK	2021	5.06
Telangana	MEDAK	2021	2.7
Telangana	MEDAK	2021	1.74
Telangana	MEDAK	2022	3.59
Telangana	MEDAK	2022	9.63
Telangana	MEDAK	2022	1.75
Telangana	MEDAK	2022	1.95
Telangana	MEDAK	2023	5.67
Telangana	MEDAK	2023	10.76
Telangana	MEDAK	2023	3.53
Telangana	SANGA REDDY	2023	5.67
Telangana	MAHBUBNAGAR	2022	2.84
Telangana	MAHBUBNAGAR	2022	2.5
Telangana	MAHBUBNAGAR	2023	5.48
Telangana	KARIMNAGAR	2021	2.95
Telangana	KARIMNAGAR	2021	2.38
Telangana	KARIMNAGAR	2021	2.75
Telangana	KARIMNAGAR	2022	2.65
Telangana	KARIMNAGAR	2022	2.46
Telangana	KARIMNAGAR	2022	1.94
Telangana	KARIMNAGAR	2022	2.34
Telangana	KARIMNAGAR	2023	3.58
Telangana	KARIMNAGAR	2023	3.65
Telangana	KARIMNAGAR	2023	2.71
Telangana	SURYAPET	2023	3.71
Telangana	NALGONDA	2021	7.07
Telangana	NALGONDA	2021	3.84
Telangana	NALGONDA	2021	4.81
Telangana	NALGONDA	2022	5.07
Telangana	NALGONDA	2022	4.52
Telangana	NALGONDA	2022	1.99
Telangana	NALGONDA	2022	2.41
Telangana	NALGONDA	2023	3.71
Telangana	NALGONDA	2023	5.18
Telangana	NALGONDA	2023	3.58
Telangana	WARANGAL RURAL	2021	2.42
Telangana	WARANGAL RURAL	2021	1.14
Telangana	WARANGAL RURAL	2021	1.33
Telangana	WARANGAL RURAL	2022	2.38
Telangana	WARANGAL RURAL	2022	3.09
Telangana	WARANGAL RURAL	2022	0.49
Telangana	WARANGAL RURAL	2022	0.52
Telangana	WARANGAL RURAL	2023	2.32
Telangana	WARANGAL RURAL	2023	2.85
Telangana	WARANGAL RURAL	2023	0.62
Telangana	KHAMMAM	2021	3.47
Telangana	KHAMMAM	2021	2.59
Telangana	KHAMMAM	2021	2.51
Telangana	KHAMMAM	2022	3.97
Telangana	KHAMMAM	2022	3.52
Telangana	KHAMMAM	2022	1.45
Telangana	KHAMMAM	2022	2.66
Telangana	KHAMMAM	2023	3.7
Telangana	KHAMMAM	2023	2.21
Telangana	ADILABAD	2021	11.99
Telangana	ADILABAD	2021	10.75
Telangana	ADILABAD	2021	9.87
Telangana	ADILABAD	2022	9.97
Telangana	ADILABAD	2022	10.16
Telangana	ADILABAD	2022	7.7
Telangana	ADILABAD	2022	7.35
Telangana	ADILABAD	2023	9.26
Telangana	ADILABAD	2023	11.36
Telangana	ADILABAD	2023	10.26
Telangana	KHAMMAM	2021	2.29
Telangana	KHAMMAM	2021	0.87
Telangana	KHAMMAM	2021	3.16
Telangana	KHAMMAM	2022	1.54
Telangana	KHAMMAM	2022	4.97
Telangana	KHAMMAM	2022	0.39
Telangana	KHAMMAM	2022	0.94
Telangana	KHAMMAM	2022	24.01
Telangana	KHAMMAM	2022	20.94
Telangana	KHAMMAM	2023	26.55
Telangana	KHAMMAM	2023	11.38
Telangana	SANGA REDDY	2023	15.48
Telangana	MEDAK	2021	16.16
Telangana	MEDAK	2021	18
Telangana	MEDAK	2021	13.65
Telangana	MEDAK	2022	16.46
Telangana	MEDAK	2022	22.19
Telangana	MEDAK	2022	13.05
Telangana	MEDAK	2022	13.62
Telangana	MEDAK	2023	15.48
Telangana	MEDAK	2023	17.89
Telangana	MEDAK	2023	14.74
Telangana	HYDERABAD	2021	10
Telangana	HYDERABAD	2021	16.4
Telangana	HYDERABAD	2021	10.71
Telangana	HYDERABAD	2022	13.5
Telangana	HYDERABAD	2022	14.15
Telangana	HYDERABAD	2022	10.7
Telangana	HYDERABAD	2023	17.19
Telangana	MEDAK	2021	15.2
Telangana	MEDAK	2021	23.07
Telangana	MEDAK	2021	13.52
Telangana	MEDAK	2022	13.28
Telangana	MEDAK	2022	21.75
Telangana	MEDAK	2022	15.48
Telangana	MEDAK	2022	10.1
Telangana	MEDAK	2023	10.67
Telangana	MEDAK	2023	18.89
Telangana	MEDAK	2023	17.87
Telangana	WARANGAL URBAN	2023	2.83
Telangana	WARANGAL URBAN	2023	4.2
Telangana	WARANGAL RURAL	2021	2.36
Telangana	WARANGAL RURAL	2021	1.75
Telangana	WARANGAL RURAL	2021	1.72
Telangana	WARANGAL RURAL	2022	1.91
Telangana	WARANGAL RURAL	2022	3.8
Telangana	WARANGAL RURAL	2022	0.88
Telangana	WARANGAL RURAL	2023	4.2
Telangana	WARANGAL RURAL	2023	1.96
Telangana	WANAPARTHY	2023	9.35
Telangana	WANAPARTHY	2023	9.21
Telangana	MAHBUBNAGAR	2021	8.49
Telangana	MAHBUBNAGAR	2021	5.1
Telangana	MAHBUBNAGAR	2021	5.78
Telangana	MAHBUBNAGAR	2022	8.82
Telangana	MAHBUBNAGAR	2022	6.97
Telangana	MAHBUBNAGAR	2022	4.79
Telangana	MAHBUBNAGAR	2022	6.78
Telangana	MAHBUBNAGAR	2023	9.35
Telangana	MAHBUBNAGAR	2023	5.82
Telangana	NIZAMABAD	2021	6.97
Telangana	NIZAMABAD	2021	2.23
Telangana	NIZAMABAD	2021	0.89
Telangana	NIZAMABAD	2022	3.73
Telangana	NIZAMABAD	2022	12.91
Telangana	NIZAMABAD	2022	3.58
Telangana	NIZAMABAD	2022	0.95
Telangana	NIZAMABAD	2023	10.21
Telangana	NIZAMABAD	2023	16.69
Telangana	NIZAMABAD	2023	5.31
Telangana	ADILABAD	2022	22.07
Telangana	ADILABAD	2023	24.33
Telangana	WARANGAL RURAL	2022	3.95
Telangana	WARANGAL RURAL	2022	7.74
Telangana	WARANGAL RURAL	2023	14.21
Telangana	WARANGAL RURAL	2023	5.36
Telangana	MEDAK	2023	7.82
Telangana	MEDAK	2021	9
Telangana	MEDAK	2021	5.55
Telangana	MEDAK	2021	4.23
Telangana	MEDAK	2022	7.4
Telangana	MEDAK	2022	9.52
Telangana	MEDAK	2022	6.1
Telangana	MEDAK	2022	5.95
Telangana	MEDAK	2023	8.84
Telangana	MEDAK	2023	6.3
Telangana	KHAMMAM	2021	4.46
Telangana	KHAMMAM	2021	2.98
Telangana	KHAMMAM	2021	2.41
Telangana	KHAMMAM	2022	4.66
Telangana	KHAMMAM	2022	9
Telangana	KHAMMAM	2022	1.3
Telangana	KHAMMAM	2022	2.24
Telangana	KHAMMAM	2023	5.46
Telangana	KHAMMAM	2023	9.9
Telangana	KHAMMAM	2023	4.26
Telangana	HYDERABAD	2021	4.55
Telangana	HYDERABAD	2021	6.33
Telangana	HYDERABAD	2021	3.63
Telangana	HYDERABAD	2022	4.19
Telangana	HYDERABAD	2022	6.14
Telangana	HYDERABAD	2022	4.68
Telangana	HYDERABAD	2022	4.41
Telangana	HYDERABAD	2023	5.96
Telangana	HYDERABAD	2023	4.44
Telangana	HYDERABAD	2023	5.28
Telangana	NIZAMABAD	2021	9.9
Telangana	NIZAMABAD	2021	2.04
Telangana	NIZAMABAD	2022	4.42
Telangana	NIZAMABAD	2022	3.89
Telangana	NIZAMABAD	2022	1.38
Telangana	NIZAMABAD	2022	1.45
Telangana	NIZAMABAD	2023	3.46
Telangana	NIZAMABAD	2023	5.84
Telangana	NIZAMABAD	2023	3.93
Telangana	ADILABAD	2022	4.93
Telangana	ADILABAD	2022	6.4
Telangana	ADILABAD	2022	2.21
Telangana	ADILABAD	2022	2.85
Telangana	ADILABAD	2023	1.97
Telangana	MAHBUBNAGAR	2021	7.92
Telangana	MAHBUBNAGAR	2021	6.67
Telangana	MAHBUBNAGAR	2021	5.47
Telangana	MAHBUBNAGAR	2022	7.87
Telangana	MAHBUBNAGAR	2022	11.21
Telangana	MAHBUBNAGAR	2022	6.98
Telangana	MAHBUBNAGAR	2022	9.2
Telangana	MAHBUBNAGAR	2023	9.35
Telangana	MAHBUBNAGAR	2023	9.71
Telangana	MAHBUBNAGAR	2023	8.59
Telangana	MAHBUBNAGAR	2023	9.35
Telangana	NIZAMABAD	2021	4.1
Telangana	NIZAMABAD	2021	1.62
Telangana	NIZAMABAD	2021	1.26
Telangana	NIZAMABAD	2022	2.12
Telangana	NIZAMABAD	2022	4.77
Telangana	NIZAMABAD	2022	1.1
Telangana	NIZAMABAD	2022	1.53
Telangana	NIZAMABAD	2023	5.35
Telangana	NIZAMABAD	2023	2.07
Telangana	NIZAMABAD	2021	2.61
Telangana	NIZAMABAD	2021	0.86
Telangana	NIZAMABAD	2021	1.29
Telangana	NIZAMABAD	2022	2.22
Telangana	NIZAMABAD	2022	4.53
Telangana	NIZAMABAD	2022	0.81
Telangana	NIZAMABAD	2022	1.25
Telangana	NIZAMABAD	2023	2.72
Telangana	NIZAMABAD	2023	5.16
Telangana	NIZAMABAD	2023	1.24
Telangana	NIZAMABAD	2023	3.09
Telangana	SURYAPET	2023	1.23
Telangana	NALGONDA	2021	5.49
Telangana	NALGONDA	2021	5.48
Telangana	NALGONDA	2021	4.72
Telangana	NALGONDA	2022	4.28
Telangana	NALGONDA	2022	4.06
Telangana	NALGONDA	2022	3.98
Telangana	NALGONDA	2022	3.33
Telangana	NALGONDA	2023	1.23
Telangana	NALGONDA	2023	4.86
Telangana	NALGONDA	2023	5.92
Telangana	RANGA REDDY	2021	2.82
Telangana	RANGA REDDY	2021	1.85
Telangana	RANGA REDDY	2021	2.16
Telangana	RANGA REDDY	2022	2.99
Telangana	RANGA REDDY	2022	3.05
Telangana	RANGA REDDY	2022	2.44
Telangana	RANGA REDDY	2023	3.84
Telangana	RANGA REDDY	2023	4.56
Telangana	RANGA REDDY	2023	3.91
Telangana	MEDCHAL	2023	3.84
Telangana	MEDCHAL	2023	3.86
Telangana	MAHBUBNAGAR	2021	1.9
Telangana	MAHBUBNAGAR	2021	1.27
Telangana	MAHBUBNAGAR	2021	1.67
Telangana	MAHBUBNAGAR	2022	1.89
Telangana	MAHBUBNAGAR	2022	1.6
Telangana	MAHBUBNAGAR	2022	1.45
Telangana	MAHBUBNAGAR	2022	1.52
Telangana	MAHBUBNAGAR	2023	2.97
Telangana	MAHBUBNAGAR	2023	2.46
Telangana	MAHBUBNAGAR	2023	1.95
Telangana	RANGA REDDY	2021	5.15
Telangana	RANGA REDDY	2021	4.03
Telangana	RANGA REDDY	2021	5.48
Telangana	RANGA REDDY	2022	7.24
Telangana	RANGA REDDY	2022	5.8
Telangana	RANGA REDDY	2022	2.35
Telangana	RANGA REDDY	2022	3.64
Telangana	RANGA REDDY	2023	7.02
Telangana	RANGA REDDY	2023	4.54
Telangana	ADILABAD	2023	5.29
Telangana	ADILABAD	2023	3.87
Telangana	NIRMAL	2023	6.75
Telangana	ADILABAD	2021	10.24
Telangana	ADILABAD	2021	8.27
Telangana	ADILABAD	2021	7.57
Telangana	ADILABAD	2022	8.38
Telangana	ADILABAD	2022	9.86
Telangana	ADILABAD	2022	6.25
Telangana	ADILABAD	2022	5.55
Telangana	ADILABAD	2023	6.75
Telangana	ADILABAD	2023	9.01
Telangana	ADILABAD	2023	5.27
Telangana	KARIMNAGAR	2023	4.98
Telangana	KARIMNAGAR	2023	0.08
Telangana	KHAMMAM	2022	2.45
Telangana	KHAMMAM	2022	4.96
Telangana	KHAMMAM	2022	1.05
Telangana	RANGA REDDY	2021	12.35
Telangana	RANGA REDDY	2021	8.8
Telangana	RANGA REDDY	2021	8.42
Telangana	RANGA REDDY	2022	11.1
Telangana	RANGA REDDY	2022	8.43
Telangana	RANGA REDDY	2022	8.2
Telangana	RANGA REDDY	2023	9.31
Telangana	MAHBUBNAGAR	2021	2.74
Telangana	MAHBUBNAGAR	2021	2.76
Telangana	MAHBUBNAGAR	2022	3.34
Telangana	MAHBUBNAGAR	2022	4.6
Telangana	MAHBUBNAGAR	2022	1.64
Telangana	MAHBUBNAGAR	2022	1.37
Telangana	MAHBUBNAGAR	2023	2.01
Telangana	NIZAMABAD	2023	3.53
Telangana	NIZAMABAD	2021	3.01
Telangana	NIZAMABAD	2021	4.95
Telangana	NIZAMABAD	2021	2.09
Telangana	NIZAMABAD	2022	2.8
Telangana	NIZAMABAD	2022	9
Telangana	NIZAMABAD	2022	2.63
Telangana	NIZAMABAD	2022	1.99
Telangana	NIZAMABAD	2023	2.68
Telangana	NIZAMABAD	2023	7.32
Telangana	KARIMNAGAR	2021	1.03
Telangana	KARIMNAGAR	2021	3.4
